City,CityAuxialary,FixCity
Akko,Akko,Acre
Nahariyya,Nahariyya,Nahariya
Beer Sheva,Beer Sheva,Beer Sheva
Masade,Masade,Masada
Had Nes,Had Nes,Had Nes
Kefar Weradim,Kefar Weradim,Kfar Vardim
Yeroham,Yeroham,Yeruham
Zikhron Yaaqov,Zikhron Yaaqov,Zichron Ya'akov
Herzelia ,Herzelia ,Herzliya
Moshav Ramot,Moshav Ramot,Moshav Ramot 
Qiryat Shemona,Qiryat Shemona,Kiryat Shmona
Ein Kinya,Ein Kinya,Ein Kiniya
Qasrine,Qasrine,Kasserine
Mishmar Hayardin,Mishmar Hayardin,Mishmar Hiridin
Rishon LeZiyyon,Rishon LeZiyyon,Rishon LeZion
Maalot Tarshiha,Maalot Tarshiha,Ma'alot Tarshikha
Petah Tiqwa,Petah Tiqwa,Petah Tikva
Metulla,Metulla,Metula
Rechovot,Rechovot,Rehovot
Herzliyya B,Herzliyya B,Herzliya b
Shaal,Shaal,that
Raananna,Raananna,Raanana
Bet Shean,Bet Shean,Beit Shean
Kefar Blum,Kefar Blum,Kfar Bloom
Ein el Asad,Ein el Asad,Ain Al Asad
Shear Yashuv,Shear Yashuv,Shaar Yishov
Odem,Odem,Odem
Tsivon,Tsivon,Tsivon
Yavneel,Yavneel,Yavnal
Neot Golan,Neot Golan,Naot Golan
Daliyat el Karmil,Daliyat el Karmil,Dalit Al Karmil
El-Rom,El-Rom,al-Rum
Kefar Szold,Kefar Szold,Kfar Sold
Givat Yoav,Givat Yoav,Givat Yoav
Oshrat,Oshrat,happy
Ovnat,Ovnat,Onat
Yesod Hamaala,Yesod Hamaala,The primary
Beer Ora,Beer Ora,Beer Ora
Aniam,Aniam,Aniam
Sede Nehemya,Sede Nehemya,Sde Nehemiah
Buqata,Buqata,Bucata
Kalia,Kalia,Kalia
Bet Hillel,Bet Hillel,Beit Hillel
Maale Gamla,Maale Gamla,Maale Gamla
Merhav Am,Merhav Am,is a space with
Mayan Barukh,Mayan Barukh,Maya Baruch
Nov,Nov,November
Manot,Manot,Manot
Miilya,Miilya,Mailia
Avnei Eitan,Avnei Eitan,Avni Eitan
Shomera,Shomera,is guarding
Pardes Hanna,Pardes Hanna,Pardes Hana
Sifsufa,Sifsufa,Sipsofa
Peqiin Hadasha,Peqiin Hadasha,new Beijing
Kefar Rosh HaNiqra,Kefar Rosh HaNiqra,Kfar Rosh Hankara
Kefar Shammay,Kefar Shammay,Kfar Shamai
Ramat Yishay,Ramat Yishay,Ramat Yishai
Kibbutz Snir,Kibbutz Snir,Kibbutz Shanir
Poriyya Illit,Poriyya Illit,Poria Ilit
Qiryat Yam,Qiryat Yam,Kiryat Yam
Maale Hachamisha,Maale Hachamisha,high fives
Merom Golan,Merom Golan,Marom Golan
Sede Boqer,Sede Boqer,Sde Booker
Lahavot HaBashan,Lahavot HaBashan,the flames of Bashan
bla,bla,Bla
Ein Yaaqov,Ein Yaaqov,Ein Yaakov
Bruchim Qela Alon,Bruchim Qela Alon,Baruch Kela Alon
Bet Oren,Bet Oren,Beit Oren
Neot HaKikar,Neot HaKikar,The proper the square
Kefar Hananya,Kefar Hananya,Kfar Hanania
Metsoke Dragot,Metsoke Dragot,Metsoke Dragot
Dishon,Dishon,Dishon
Gan Shomeron,Gan Shomeron,Gan Samaria
Natur,Natur,Netor
Kibbutz Mitzpe Shalem,Kibbutz Mitzpe Shalem,Kibbutz Mitzpe Shelem
Bet Zevi,Bet Zevi,Beit Zvi
Qiryat Ono,Qiryat Ono,Kiryat Ono
Gesher HaZiw,Gesher HaZiw,Gesher Ziv
Yaara,Yaara,Honeysuckle
Shave Ziyyon,Shave Ziyyon,Shaiv Zion
Yoqneam,Yoqneam,Yakneam
Menahemya,Menahemya,Menachem
Reshef,Reshef,Reshef
Nof Kinneret,Nof Kinneret,Nof Kinneret
Merhavya,Merhavya,beyond
Zuqim,Zuqim,cliffs
Migdal Afeq,Migdal Afeq,Migdal Afek
Allonim,Allonim,Alonim
Mikhmannim,Mikhmannim,is funded
Miqwe Yisrael,Miqwe Yisrael,Mikve Israel
Mitzpe Hila,Mitzpe Hila,Mitzpe Hila
Mizpa,Mizpa,is waiting
Modiin,Modiin,Modi'in
Bat Shelomo,Bat Shelomo,Bat Shlomo
Yonatan,Yonatan,Jonathan
Deir Hanna,Deir Hanna,Deir Hana
Yesud HaMaala,Yesud HaMaala,Yosod HaMa'ala
Nir Dawid,Nir Dawid,Nir David
Yanuh,Yanuh,Janua
Bene Beraq,Bene Beraq,Ben Barak
Clil,Clil,is light
Ayyelet HaShahar,Ayyelet HaShahar,Ayelet Hashar
Tirat Karmel,Tirat Karmel,Carmel Castle
Tel Kazir,Tel Kazir,Tel Kazir
Qiryat Amal,Qiryat Amal,Kiryat Amal
Qiryat Ata,Qiryat Ata,Kiryat Ata
Qiryat Hayyim,Qiryat Hayyim,Kiryat Haim
Mashabbe Sade,Mashabbe Sade,pump field
Qiryat Motzkin,Qiryat Motzkin,Kiryat Motzkin
Amqa,Amqa,Ameka
Bet Lehem HaGelilit,Bet Lehem HaGelilit,The Galilean Bethlehem
Qiryat Shemuel,Qiryat Shemuel,Kiryat Shmuel
Qiryat Tivon,Qiryat Tivon,Kiryat Tivon
